adduser	3.118ubuntu5	all
adwaita-icon-theme	41.0-1ubuntu1	all
alsa-topology-conf	1.2.5.1-2	all
alsa-ucm-conf	1.2.6.3-1ubuntu1.12	all
apt	2.4.10	amd64
at-spi2-core	2.44.0-3	amd64
base-files	12ubuntu4.4	amd64
base-passwd	3.5.52build1	amd64
bash	5.1-6ubuntu1.1	amd64
binutils	2.38-4ubuntu2.3	amd64
binutils-common:amd64	2.38-4ubuntu2.3	amd64
binutils-x86-64-linux-gnu	2.38-4ubuntu2.3	amd64
brz	3.2.1+bzr7585-1build1	all
bsdutils	1:2.37.2-4ubuntu3	amd64
build-essential	12.9ubuntu3	amd64
bzip2	1.0.8-5build1	amd64
bzr	2.7.0+bzr6622+brz	all
ca-certificates	20240203~22.04.1	all
catch2	2.13.8-1	amd64
cmake	3.22.1-1ubuntu1.22.04.2	amd64
cmake-data	3.22.1-1ubuntu1.22.04.2	all
coreutils	8.32-4.1ubuntu1	amd64
cpp	4:11.2.0-1ubuntu1	amd64
cpp-11	11.4.0-1ubuntu1~22.04	amd64
cppcheck	2.7-1	amd64
cuda-cccl-11-8	11.8.89-1	amd64
cuda-command-line-tools-11-8	11.8.0-1	amd64
cuda-compat-11-8	520.61.05-1	amd64
cuda-compiler-11-8	11.8.0-1	amd64
cuda-cudart-11-8	11.8.89-1	amd64
cuda-cudart-dev-11-8	11.8.89-1	amd64
cuda-cuobjdump-11-8	11.8.86-1	amd64
cuda-cupti-11-8	11.8.87-1	amd64
cuda-cupti-dev-11-8	11.8.87-1	amd64
cuda-cuxxfilt-11-8	11.8.86-1	amd64
cuda-driver-dev-11-8	11.8.89-1	amd64
cuda-gdb-11-8	11.8.86-1	amd64
cuda-keyring	1.0-1	all
cuda-libraries-11-8	11.8.0-1	amd64
cuda-libraries-dev-11-8	11.8.0-1	amd64
cuda-memcheck-11-8	11.8.86-1	amd64
cuda-minimal-build-11-8	11.8.0-1	amd64
cuda-nsight-compute-11-8	11.8.0-1	amd64
cuda-nvcc-11-8	11.8.89-1	amd64
cuda-nvdisasm-11-8	11.8.86-1	amd64
cuda-nvml-dev-11-8	11.8.86-1	amd64
cuda-nvprof-11-8	11.8.87-1	amd64
cuda-nvprune-11-8	11.8.86-1	amd64
cuda-nvrtc-11-8	11.8.89-1	amd64
cuda-nvrtc-dev-11-8	11.8.89-1	amd64
cuda-nvtx-11-8	11.8.86-1	amd64
cuda-profiler-api-11-8	11.8.86-1	amd64
cuda-sanitizer-11-8	11.8.86-1	amd64
cuda-toolkit-11-8-config-common	11.8.89-1	all
cuda-toolkit-11-config-common	11.8.89-1	all
cuda-toolkit-config-common	12.3.52-1	all
curl	7.81.0-1ubuntu1.24	amd64
dash	0.5.11+git20210903+057cd650a4ed-3build1	amd64
dbus	1.12.20-2ubuntu4.1	amd64
dbus-user-session	1.12.20-2ubuntu4.1	amd64
dconf-gsettings-backend:amd64	0.40.0-3ubuntu0.1	amd64
dconf-service	0.40.0-3ubuntu0.1	amd64
debconf	1.5.79ubuntu1	all
debianutils	5.5-1ubuntu2	amd64
dh-elpa-helper	2.0.9ubuntu1	all
diffutils	1:3.8-0ubuntu2	amd64
dirmngr	2.2.27-3ubuntu2.5	amd64
distro-info-data	0.52ubuntu0.12	all
dmsetup	2:1.02.175-2.1ubuntu5	amd64
docutils-common	0.17.1+dfsg-2	all
dpkg	1.21.1ubuntu2.2	amd64
dpkg-dev	1.21.1ubuntu2.2	all
e2fsprogs	1.46.5-2ubuntu1.1	amd64
emacsen-common	3.0.4	all
ffmpeg	7:4.4.2-0ubuntu0.22.04.1	amd64
file	1:5.41-3ubuntu0.1	amd64
findutils	4.8.0-1ubuntu3	amd64
