original_frame_id,phase,visible_points,depth_consistent_points,depth_inconsistent_points
5,closed,26378,26378,0
10,closed,26016,26016,0
15,closed,27789,27789,0
20,closed,28651,28651,0
25,closed,29071,29071,0
30,closed,28337,28337,0
35,closed,28880,28880,0
40,closed,29251,29251,0
45,closed,28901,28901,0
50,closed,28908,28908,0
55,closed,28969,28969,0
60,closed,29213,29213,0
65,closed,29289,29289,0
70,closed,29219,29219,0
75,closed,29112,29112,0
80,closed,28946,28946,0
85,closed,28944,28944,0
90,closed,28382,28382,0
95,closed,28860,28860,0
100,closed,28819,28819,0
105,closed,29000,29000,0
110,closed,28472,28472,0
115,closed,29194,29194,0
120,closed,29042,29042,0
125,closed,28956,28956,0
130,closed,29437,29437,0
135,closed,29252,29252,0
140,closed,29281,29281,0
145,closed,29080,29080,0
150,closed,29009,29009,0
155,closed,29284,29284,0
160,closed,27667,27667,0
165,closed,25021,25021,0
177,interaction,23837,23837,0
178,interaction,24014,24014,0
179,interaction,23826,23826,0
180,interaction,24112,24112,0
181,interaction,24129,24129,0
182,interaction,24140,24140,0
183,interaction,23888,23888,0
184,interaction,24016,24016,0
185,interaction,23886,23886,0
186,interaction,23780,23780,0
187,interaction,24049,24049,0
188,interaction,24271,24271,0
189,interaction,24436,24436,0
190,interaction,24628,24628,0
191,interaction,24324,24324,0
192,interaction,24511,24511,0
193,interaction,24843,24843,0
194,interaction,25099,25099,0
195,interaction,25562,25562,0
196,interaction,25729,25729,0
197,interaction,25662,25662,0
198,interaction,25923,25923,0
199,interaction,26113,26113,0
200,interaction,25905,25905,0
201,interaction,26151,26151,0
202,interaction,26288,26288,0
203,interaction,26311,26311,0
204,interaction,26197,26197,0
205,interaction,26532,26532,0
206,interaction,26169,26169,0
207,interaction,26146,26146,0
208,interaction,26237,26237,0
209,interaction,26274,26274,0
210,interaction,26850,26850,0
211,interaction,26346,26346,0
212,interaction,26617,26617,0
213,interaction,26748,26748,0
220,open,27347,27347,0
225,open,27561,27561,0
230,open,28176,28176,0
235,open,28798,28798,0
240,open,28947,28947,0
245,open,28893,28893,0
250,open,27935,27935,0
255,open,28562,28562,0
260,open,28403,28403,0
265,open,28415,28415,0
270,open,28657,28657,0
275,open,28783,28783,0
280,open,28705,28705,0
285,open,28548,28548,0
290,open,28454,28454,0
295,open,28079,28079,0
300,open,28976,28976,0
305,open,28491,28491,0
310,open,28559,28559,0
315,open,28525,28525,0
320,open,28873,28873,0
325,open,28527,28527,0
330,open,28798,28798,0
335,open,28822,28822,0
340,open,28508,28508,0
345,open,28547,28547,0
350,open,28456,28456,0
355,open,28603,28603,0
360,open,28481,28481,0
