accepted_pixels,agreement_mean,conflict_pixels,original_frame_id,phase,propagation_conflict_pixels,propagation_geometry_conflict_pixels,seed_count,static_drawer_overlap_pixels,static_positive_pixels,union_pixels
0,0.0,0,177,interaction,0,0,5,0,,0
0,0.0,0,178,interaction,0,0,5,0,,0
0,0.0,0,179,interaction,0,0,5,0,,0
0,0.0,0,180,interaction,0,0,5,0,,0
0,0.0,0,181,interaction,0,0,5,0,,0
0,0.0,0,182,interaction,0,0,5,0,,0
0,0.0,0,183,interaction,0,0,5,0,,0
0,0.0,0,184,interaction,0,0,5,0,,0
0,0.0,0,185,interaction,0,0,5,0,,0
0,0.0,0,186,interaction,0,0,5,0,,0
0,0.0,0,187,interaction,0,0,5,0,,0
0,0.0,0,188,interaction,0,0,5,0,,0
0,0.0,0,189,interaction,0,0,5,0,,0
0,0.0,0,190,interaction,0,0,5,0,,0
0,0.0,0,191,interaction,0,0,5,0,,0
0,0.0,0,192,interaction,0,0,5,0,,0
0,0.0,0,193,interaction,0,0,5,0,,0
19,0.9333333333333333,0,194,interaction,0,0,5,0,,19
91,0.9014084507042253,0,195,interaction,0,0,5,0,,91
166,0.8678445229681979,29,196,interaction,29,0,5,0,,195
228,0.8960960960960962,17,197,interaction,17,228,5,0,,245
298,0.9037037037037037,27,198,interaction,27,0,5,0,,325
309,0.9145679012345679,12,199,interaction,12,0,5,0,,321
341,0.8955710955710957,9,200,interaction,9,0,5,0,,350
313,0.8744186046511628,6,201,interaction,6,0,5,0,,319
329,0.8562500000000001,6,202,interaction,6,0,5,0,,335
349,0.8468468468468469,26,203,interaction,26,0,5,0,,375
364,0.8744493392070485,9,204,interaction,9,0,5,0,,373
365,0.869642857142857,16,205,interaction,16,0,5,0,,381
380,0.8979775280898877,19,206,interaction,19,0,5,0,,399
361,0.9116997792494482,8,207,interaction,8,0,5,0,,369
356,0.8978165938864628,11,208,interaction,11,0,5,0,,367
366,0.9092077087794432,7,209,interaction,7,0,5,0,,373
356,0.8913684210526317,14,210,interaction,14,0,5,0,,370
342,0.8804166666666666,9,211,interaction,9,0,5,0,,351
298,0.9172413793103449,4,212,interaction,4,0,5,0,,302
135,0.9019438444924407,5,213,interaction,5,0,5,0,,140
0,0.0,0,5,closed,,,0,,0,
0,0.0,0,6,closed,,,0,,0,
0,0.0,0,7,closed,,,0,,0,
0,0.0,0,8,closed,,,0,,0,
0,0.0,0,9,closed,,,0,,0,
0,0.0,0,10,closed,,,0,,0,
0,0.0,0,11,closed,,,0,,0,
0,0.0,0,12,closed,,,0,,0,
0,0.0,0,13,closed,,,0,,0,
0,0.0,0,14,closed,,,0,,0,
0,0.0,0,15,closed,,,0,,0,
0,0.0,0,16,closed,,,0,,0,
0,0.0,0,17,closed,,,0,,0,
0,0.0,0,18,closed,,,0,,0,
0,0.0,0,19,closed,,,0,,0,
0,0.0,0,20,closed,,,0,,0,
0,0.0,0,21,closed,,,0,,0,
0,0.0,0,22,closed,,,0,,0,
0,0.0,0,23,closed,,,0,,0,
0,0.0,0,24,closed,,,0,,0,
0,0.0,0,25,closed,,,0,,0,
0,0.0,0,26,closed,,,0,,0,
0,0.0,0,27,closed,,,0,,0,
0,0.0,0,28,closed,,,0,,0,
0,0.0,0,29,closed,,,0,,0,
0,0.0,0,30,closed,,,0,,0,
0,0.0,0,31,closed,,,0,,0,
0,0.0,0,32,closed,,,0,,0,
0,0.0,0,33,closed,,,0,,0,
0,0.0,0,34,closed,,,0,,0,
0,0.0,0,35,closed,,,0,,0,
0,0.0,0,36,closed,,,0,,0,
0,0.0,0,37,closed,,,0,,0,
0,0.0,0,38,closed,,,0,,0,
0,0.0,0,39,closed,,,0,,0,
0,0.0,0,40,closed,,,0,,0,
0,0.0,0,41,closed,,,0,,0,
0,0.0,0,42,closed,,,0,,0,
0,0.0,0,43,closed,,,0,,0,
0,0.0,0,44,closed,,,0,,0,
0,0.0,0,45,closed,,,0,,0,
0,0.0,0,46,closed,,,0,,0,
0,0.0,0,47,closed,,,0,,0,
0,0.0,0,48,closed,,,0,,0,
0,0.0,0,49,closed,,,0,,0,
0,0.0,0,50,closed,,,0,,0,
0,0.0,0,51,closed,,,0,,0,
0,0.0,0,52,closed,,,0,,0,
0,0.0,0,53,closed,,,0,,0,
0,0.0,0,54,closed,,,0,,0,
0,0.0,0,55,closed,,,0,,0,
0,0.0,0,56,closed,,,0,,0,
0,0.0,0,57,closed,,,0,,0,
0,0.0,0,58,closed,,,0,,0,
0,0.0,0,59,closed,,,0,,0,
0,0.0,0,60,closed,,,0,,0,
0,0.0,0,61,closed,,,0,,0,
0,0.0,0,62,closed,,,0,,0,
0,0.0,0,63,closed,,,0,,0,
0,0.0,0,64,closed,,,0,,0,
0,0.0,0,65,closed,,,0,,0,
0,0.0,0,66,closed,,,0,,0,
0,0.0,0,67,closed,,,0,,0,
0,0.0,0,68,closed,,,0,,0,
0,0.0,0,69,closed,,,0,,0,
0,0.0,0,70,closed,,,0,,0,
0,0.0,0,71,closed,,,0,,0,
0,0.0,0,72,closed,,,0,,0,
0,0.0,0,73,closed,,,0,,0,
0,0.0,0,74,closed,,,0,,0,
0,0.0,0,75,closed,,,0,,0,
0,0.0,0,76,closed,,,0,,0,
0,0.0,0,77,closed,,,0,,0,
0,0.0,0,78,closed,,,0,,0,
0,0.0,0,79,closed,,,0,,0,
0,0.0,0,80,closed,,,0,,0,
0,0.0,0,81,closed,,,0,,0,
0,0.0,0,82,closed,,,0,,0,
0,0.0,0,83,closed,,,0,,0,
0,0.0,0,84,closed,,,0,,0,
0,0.0,0,85,closed,,,0,,0,
