accepted_pixels,agreement_mean,conflict_pixels,original_frame_id,phase,propagation_conflict_pixels,propagation_geometry_conflict_pixels,seed_count,static_drawer_overlap_pixels,static_positive_pixels,union_pixels
3139,0.6552213106451938,127,177,interaction,127,0,6,0,,3266
3215,0.6549533452451856,118,178,interaction,118,0,6,0,,3333
3270,0.6583656427080227,79,179,interaction,79,0,6,0,,3349
3201,0.6574349811395671,82,180,interaction,82,0,6,0,,3283
3159,0.6543776527489882,132,181,interaction,132,0,6,1,,3291
3157,0.6568598315998018,93,182,interaction,93,0,6,0,,3250
3264,0.6498201779292069,174,183,interaction,174,0,6,0,,3438
3247,0.6491009681881051,120,184,interaction,120,0,6,0,,3367
3357,0.6536514822848879,36,185,interaction,36,0,6,0,,3393
3027,0.6233002572583609,150,186,interaction,150,0,6,0,,3177
3054,0.6214345056770978,189,187,interaction,189,0,6,0,,3243
2945,0.6384091345231241,197,188,interaction,197,0,6,0,,3142
2996,0.650751285092922,60,189,interaction,60,0,6,0,,3056
2952,0.6473732437385461,64,190,interaction,64,0,6,0,,3016
2825,0.653870761356366,25,191,interaction,25,0,6,0,,2850
2811,0.6501085776330077,56,192,interaction,56,0,6,0,,2867
2752,0.6359987154784843,66,193,interaction,66,0,6,0,,2818
2734,0.6245330012453301,151,194,interaction,151,0,6,0,,2885
2755,0.6025790754257908,321,195,interaction,321,0,6,0,,3076
2717,0.585795243403939,516,196,interaction,516,0,6,0,,3233
2601,0.5714937494296924,682,197,interaction,682,0,6,0,,3283
2592,0.5646249445184198,795,198,interaction,795,0,6,0,,3387
2566,0.572660857318898,819,199,interaction,819,0,6,0,,3385
2491,0.5692075337597725,886,200,interaction,886,0,6,0,,3377
2553,0.5738745839901909,859,201,interaction,859,0,6,0,,3412
2557,0.5736323567539539,882,202,interaction,882,0,6,0,,3439
2565,0.571569130732375,922,203,interaction,922,0,6,0,,3487
2587,0.5745512325002147,891,204,interaction,891,0,6,0,,3478
2561,0.5728491137051448,920,205,interaction,920,0,6,0,,3481
2535,0.5723295059151009,931,206,interaction,931,0,6,0,,3466
2556,0.5739107883817427,924,207,interaction,924,0,6,0,,3480
2594,0.5737838300787941,941,208,interaction,941,0,6,0,,3535
2621,0.5732586748112326,908,209,interaction,908,0,6,0,,3529
2624,0.5733216286263689,944,210,interaction,944,0,6,0,,3568
2638,0.5732367391123323,923,211,interaction,923,0,6,0,,3561
2614,0.5747225647348951,890,212,interaction,890,0,6,0,,3504
2478,0.5734979000599982,858,213,interaction,858,0,6,0,,3336
1518,0.0,0,5,closed,,,0,,9998,
1526,0.0,0,6,closed,,,0,,9981,
1525,0.0,0,7,closed,,,0,,9980,
1533,0.0,0,8,closed,,,0,,9538,
1504,0.0,0,9,closed,,,0,,8443,
1545,0.0,0,10,closed,,,0,,8062,
1644,0.0,0,11,closed,,,0,,9075,
1772,0.0,0,12,closed,,,0,,9908,
1844,0.0,0,13,closed,,,0,,10252,
1803,0.0,0,14,closed,,,0,,10470,
1653,0.0,0,15,closed,,,0,,10527,
1571,0.0,0,16,closed,,,0,,10449,
1543,0.0,0,17,closed,,,0,,10211,
1508,0.0,0,18,closed,,,0,,9668,
1546,0.0,0,19,closed,,,0,,10187,
1506,0.0,0,20,closed,,,0,,9762,
1508,0.0,0,21,closed,,,0,,9807,
1469,0.0,0,22,closed,,,0,,9835,
1483,0.0,0,23,closed,,,0,,9631,
1495,0.0,0,24,closed,,,0,,9359,
1469,0.0,0,25,closed,,,0,,9632,
1469,0.0,0,26,closed,,,0,,9874,
1450,0.0,0,27,closed,,,0,,10068,
1433,0.0,0,28,closed,,,0,,10290,
1426,0.0,0,29,closed,,,0,,10235,
1412,0.0,0,30,closed,,,0,,9823,
