original_frame_id,proposal_id,source_layer,control_group,decision,formal_ownership_label,decision_reason,multi_baseline_observation_count,accepted_observation_count,short_count,medium_count,long_count,informative_observation_count,posterior_moving,aggregate_log_evidence_moving_over_static,static_residual_vs_discriminative_slope,moving_residual_vs_discriminative_slope,tangent_motion,trusted_finite_physical_edge,causal_static_positive,expected_label
195,frame_195_layer_25,25,drawer_front,MOVING_LINK,MOVING_LINK,frozen_noise_multi_baseline_likelihood_favors_drawer_model,23,23,0,2,21,23,1.0,2141.3040010864734,5.247592046006468,-0.00012683880932693017,False,True,False,MOVING_LINK
196,frame_196_layer_25,25,drawer_front,MOVING_LINK,MOVING_LINK,frozen_noise_multi_baseline_likelihood_favors_drawer_model,23,23,0,3,20,23,1.0,2236.007721757982,4.661684582180756,0.0013752119283271433,False,True,False,MOVING_LINK
197,frame_197_layer_25,25,drawer_front,MOVING_LINK,MOVING_LINK,frozen_noise_multi_baseline_likelihood_favors_drawer_model,23,20,0,5,15,20,1.0,1758.4080908977103,5.126594484809189,-0.0010481944040797236,False,True,False,MOVING_LINK
198,frame_198_layer_25,25,drawer_front,MOVING_LINK,MOVING_LINK,frozen_noise_multi_baseline_likelihood_favors_drawer_model,24,19,1,7,11,19,1.0,1536.2654166175066,5.422430482682409,0.01074687844380154,False,False,False,MOVING_LINK
202,frame_202_layer_2,2,active_comoving_box,UNKNOWN,UNKNOWN,both_models_incompatible_with_frozen_plateau_noise,21,18,2,3,13,18,7.632975997851271e-89,-202.8975954681823,0.6000235236930711,1.4179966751642221,False,True,False,MOVING_LINK
203,frame_203_layer_2,2,active_comoving_box,UNKNOWN,UNKNOWN,both_models_incompatible_with_frozen_plateau_noise,21,18,3,1,14,17,8.847870942227726e-91,-207.35506660387998,0.5582722465059812,1.3899291205955584,False,True,False,MOVING_LINK
204,frame_204_layer_2,2,active_comoving_box,UNKNOWN,UNKNOWN,both_models_incompatible_with_frozen_plateau_noise,23,20,4,2,14,20,4.485095458453544e-82,-187.31121784629136,0.5552861694818176,1.384989377368232,False,True,False,MOVING_LINK
205,frame_205_layer_2,2,active_comoving_box,UNKNOWN,UNKNOWN,both_models_incompatible_with_frozen_plateau_noise,23,22,4,2,16,22,8.118086133694532e-77,-175.2049577319699,0.5296102864544504,1.379503950697293,False,True,False,MOVING_LINK
206,frame_206_layer_2,2,active_comoving_box,UNKNOWN,UNKNOWN,both_models_incompatible_with_frozen_plateau_noise,23,23,1,4,18,23,4.7938262634826984e-85,-194.15240400954667,0.45948773550042193,1.3811875550084085,False,True,False,MOVING_LINK
188,frame_188_layer_0,0,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,frozen_noise_multi_baseline_likelihood_favors_static_model,24,18,1,3,14,12,5.6492649886010715e-30,-67.34602734363861,0.013436527693017012,1.2046535525709523,True,False,False,NOT_MOVING_LINK
189,frame_189_layer_0,0,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,frozen_noise_multi_baseline_likelihood_favors_static_model,23,14,0,3,11,10,2.0183865378025097e-24,-54.55974378327179,0.020126369281635734,1.0772099719623263,True,True,False,NOT_MOVING_LINK
