original_frame_id,proposal_id,source_layer,control_group,decision,formal_ownership_label,decision_reason,observation_count,informative_observation_count,effective_chain_length,censored_observation_count,ambiguous_neutral_observation_count,posterior_moving_before_censor,posterior_moving_after_censor,aggregate_evidence_before_censor,aggregate_evidence_after_censor,tangent_motion,trusted_finite_physical_edge,short_censored,short_ambiguous,short_moving_evidence,short_static_evidence,medium_censored,medium_ambiguous,medium_moving_evidence,medium_static_evidence,long_censored,long_ambiguous,long_moving_evidence,long_static_evidence,expected_label
195,frame_195_layer_25,25,drawer_front,MOVING_LINK,MOVING_LINK,retained_frozen_noise_observations_favor_drawer_model,23,19,19,4,0,1.0,1.0,2141.3040010864734,1626.3827084957784,False,True,0,0,0,0,0,0,2,0,4,0,17,0,MOVING_LINK
196,frame_196_layer_25,25,drawer_front,MOVING_LINK,MOVING_LINK,retained_frozen_noise_observations_favor_drawer_model,23,21,21,2,0,1.0,1.0,2236.007721757982,1921.5819967128682,False,True,0,0,0,0,0,0,3,0,2,0,18,0,MOVING_LINK
197,frame_197_layer_25,25,drawer_front,MOVING_LINK,MOVING_LINK,retained_frozen_noise_observations_favor_drawer_model,23,17,17,6,0,1.0,1.0,1758.4080908977103,1292.8494184347228,False,True,0,0,0,0,0,0,5,0,6,0,12,0,MOVING_LINK
198,frame_198_layer_25,25,drawer_front,MOVING_LINK,MOVING_LINK,retained_frozen_noise_observations_favor_drawer_model,24,16,16,8,0,1.0,1.0,1536.2654166175066,1060.57177635152,False,False,0,0,1,0,0,0,7,0,8,0,8,0,MOVING_LINK
202,frame_202_layer_2,2,active_comoving_box,MOVING_LINK,MOVING_LINK,retained_frozen_noise_observations_favor_drawer_model,21,6,6,15,0,7.632975997851271e-89,1.0,-202.8975954681823,54.65976868984795,False,True,0,0,2,0,0,0,3,0,15,0,1,0,MOVING_LINK
203,frame_203_layer_2,2,active_comoving_box,MOVING_LINK,MOVING_LINK,retained_frozen_noise_observations_favor_drawer_model,21,5,5,15,0,8.847870942227726e-91,1.0,-207.35506660387998,48.4971067742288,False,True,0,0,3,0,0,0,1,0,15,0,2,0,MOVING_LINK
204,frame_204_layer_2,2,active_comoving_box,MOVING_LINK,MOVING_LINK,retained_frozen_noise_observations_favor_drawer_model,23,8,8,15,0,4.485095458453544e-82,1.0,-187.31121784629136,66.60039051342491,False,True,0,0,4,0,0,0,2,0,15,0,2,0,MOVING_LINK
205,frame_205_layer_2,2,active_comoving_box,MOVING_LINK,MOVING_LINK,retained_frozen_noise_observations_favor_drawer_model,23,6,6,17,0,8.118086133694532e-77,1.0,-175.2049577319699,37.89744720271843,False,True,0,0,4,0,0,0,2,0,17,0,0,0,MOVING_LINK
206,frame_206_layer_2,2,active_comoving_box,MOVING_LINK,MOVING_LINK,retained_frozen_noise_observations_favor_drawer_model,23,8,8,15,0,4.7938262634826984e-85,1.0,-194.15240400954667,80.88188005184892,False,True,0,0,1,0,0,0,4,0,15,0,3,0,MOVING_LINK
188,frame_188_layer_0,0,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,24,12,12,6,4,5.6492649886010715e-30,5.6492649886010715e-30,-67.34602734363861,-67.34602734363861,True,False,0,1,0,0,0,3,0,0,6,0,0,14,NOT_MOVING_LINK
189,frame_189_layer_0,0,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,10,10,9,4,2.0183865378025097e-24,2.0183865378025097e-24,-54.55974378327179,-54.55974378327179,True,True,0,0,0,0,0,3,0,0,9,1,0,10,NOT_MOVING_LINK
189,frame_189_layer_6,6,documented_floor_false_positive,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,23,3,3,13,3,1.0,3.7783204413400924e-06,826.1897753801056,-12.486227196435802,True,False,0,0,0,0,0,2,0,1,13,1,0,6,NOT_MOVING_LINK
190,frame_190_layer_6,6,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,5,5,13,4,1.0,3.991439210234909e-08,699.7562589628963,-17.036528833854838,True,False,0,0,0,0,0,3,0,0,13,1,0,6,NOT_MOVING_LINK
