original_frame_id,proposal_id,source_layer,control_group,decision,formal_ownership_label,decision_reason,observation_count,informative_observation_count,effective_chain_length,censored_observation_count,ambiguous_neutral_observation_count,posterior_moving_before_censor,posterior_moving_after_censor,aggregate_evidence_before_censor,aggregate_evidence_after_censor,tangent_motion,trusted_finite_physical_edge,short_censored,short_ambiguous,short_moving_evidence,short_static_evidence,medium_censored,medium_ambiguous,medium_moving_evidence,medium_static_evidence,long_censored,long_ambiguous,long_moving_evidence,long_static_evidence
187,frame_187_layer_0,0,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,25,11,11,6,7,2.252869551667639e-29,2.252869551667639e-29,-65.9627629368903,-65.9627629368903,True,False,0,2,0,0,0,4,0,0,6,1,0,12
188,frame_188_layer_0,0,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,24,12,12,6,4,5.6492649886010715e-30,5.6492649886010715e-30,-67.34602734363861,-67.34602734363861,True,False,0,1,0,0,0,3,0,0,6,0,0,14
189,frame_189_layer_0,0,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,10,10,9,4,2.0183865378025097e-24,2.0183865378025097e-24,-54.55974378327179,-54.55974378327179,True,True,0,0,0,0,0,3,0,0,9,1,0,10
189,frame_189_layer_6,6,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,23,3,3,13,3,1.0,3.7783204413400924e-06,826.1897753801056,-12.486227196435802,True,False,0,0,0,0,0,2,0,1,13,1,0,6
190,frame_190_layer_0,0,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,9,9,11,3,2.0054491276013993e-21,2.0054491276013993e-21,-47.65841891341031,-47.65841891341031,True,True,0,0,0,0,1,2,0,0,10,1,0,9
190,frame_190_layer_6,6,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,5,5,13,4,1.0,3.991439210234909e-08,699.7562589628963,-17.036528833854838,True,False,0,0,0,0,0,3,0,0,13,1,0,6
191,frame_191_layer_0,0,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,11,11,8,3,3.1742256451887986e-23,3.1742256451887986e-23,-51.80439342754383,-51.80439342754383,True,True,0,0,0,0,0,2,0,0,8,1,0,12
191,frame_191_layer_6,6,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,6,6,12,2,1.0,5.321689873746062e-11,592.9361041096153,-23.656645124525376,True,False,0,0,0,0,0,2,0,0,12,0,0,9
192,frame_192_layer_0,0,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,10,10,9,4,2.317322392473415e-19,2.317322392473415e-19,-42.90870438891773,-42.90870438891773,True,True,0,0,0,0,0,2,0,0,9,2,0,10
192,frame_192_layer_6,6,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,7,7,11,3,1.0,1.9944135022723825e-12,442.1824790818207,-26.94067109262981,True,False,0,0,0,0,0,2,0,0,11,1,0,9
