original_frame_id,q_m,proposal_id,source_layer,formal_v4_label,v5_decision,decision_reason,static_verified_active,drawer_verified_active,static_verified_fraction,drawer_verified_fraction,accepted_causal_disocclusion_events,static_contradiction_veto,drawer_contradiction_veto,region_directory
187,0.05919969964910532,frame_187_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,5,9,0.29411764705882354,0.5294117647058824,0,False,True,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/000_frame_187_layer_0
188,0.07293716335462896,frame_188_layer_0,0,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,5,10,0.2777777777777778,0.5555555555555556,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/001_frame_188_layer_0
189,0.08973465676920167,frame_189_layer_0,0,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,5,11,0.2631578947368421,0.5789473684210527,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/002_frame_189_layer_0
189,0.08973465676920167,frame_189_layer_6,6,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,1,15,0.05263157894736842,0.7894736842105263,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/003_frame_189_layer_6
190,0.10665393781713517,frame_190_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,9,8,0.45,0.4,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/004_frame_190_layer_0
190,0.10665393781713517,frame_190_layer_6,6,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,2,16,0.1,0.8,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/005_frame_190_layer_6
191,0.12346363394546822,frame_191_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,5,7,0.25,0.35,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/006_frame_191_layer_0
191,0.12346363394546822,frame_191_layer_6,6,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,2,16,0.1,0.8,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/007_frame_191_layer_6
192,0.14041430579681058,frame_192_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,12,8,0.6,0.4,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/008_frame_192_layer_0
192,0.14041430579681058,frame_192_layer_6,6,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,2,18,0.1,0.9,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/009_frame_192_layer_6
